code,name,term,shubetsu,ren,sales,netincome,month
0000559,花王,2010/03,10,1,1184384,40506,12
0000559,花王,2011/03,10,1,1186831,46737,12
0000559,花王,2012/03,10,1,1216095,52434,12
0000559,花王,2012/12,10,1,1012595,52765,9
0000559,花王,2013/12,10,1,1315217,64764,12
0000559,花王,2014/12,10,1,1401707,79590,12
0000559,花王,2015/12,10,3,1474550,105196,12
0000559,花王,2016/12,10,3,1457610,126551,12
0000559,花王,2017/12,10,3,1489421,147010,12
0000559,花王,2018/12,10,3,1508007,153698,12
0000559,花王,2019/12,10,3,1502241,148213,12
0000559,花王,2020/12,10,3,1381997,126142,12
0000559,花王,2021/12,10,3,1418768,109636,12
0040396,ポーラ・オルビスホールディング,2006/12,10,0,,23813,3
0040396,ポーラ・オルビスホールディング,2007/12,10,0,3221,-1401,12
0040396,ポーラ・オルビスホールディング,2008/12,10,1,170838,6559,12
0040396,ポーラ・オルビスホールディング,2009/12,10,1,162332,4059,12
0040396,ポーラ・オルビスホールディング,2010/12,10,1,165253,7086,12
0040396,ポーラ・オルビスホールディング,2011/12,10,1,166657,8039,12
0040396,ポーラ・オルビスホールディング,2012/12,10,1,180873,6681,12
0040396,ポーラ・オルビスホールディング,2013/12,10,1,191355,7318,12
0040396,ポーラ・オルビスホールディング,2014/12,10,1,198094,10382,12
0040396,ポーラ・オルビスホールディング,2015/12,10,1,214788,14095,12
0040396,ポーラ・オルビスホールディング,2016/12,10,1,218482,16328,12
0040396,ポーラ・オルビスホールディング,2017/12,10,1,244335,27137,12
0040396,ポーラ・オルビスホールディング,2018/12,10,1,248574,8388,12
0040396,ポーラ・オルビスホールディング,2019/12,10,1,219920,19694,12
0040396,ポーラ・オルビスホールディング,2020/12,10,1,176311,4632,12
0040396,ポーラ・オルビスホールディング,2021/12,10,1,178642,11734,12
